node_id,node_type,σ0,σ0_rounded,P_S
1,-1,0.9665182541566657,1.0,0.0
2,-1,0.02584409426819641,0.0,0.5999653791622626
3,-1,0.02020111385639601,0.0,0.7028877293850133
4,-1,0.06221309367645926,0.0,0.8695434911970714
5,-1,0.00162574086320066,0.0,0.7056331269277625
6,1,0.03590391921571879,0.0,0.8793757747267444
7,1,0.026366591195275867,0.0,0.644534439020015
8,1,0.06031168775198435,0.0,0.7128804154925485
9,-1,0.018132835681391863,0.0,0.8292259156157209
10,-1,0.004037667043526289,0.0,0.7908864784342261
11,-1,0.05915790241325036,0.0,0.7594697252421
12,-1,0.07392537491191267,0.0,0.7123027328109103
13,-1,0.0006671041227444437,0.0,0.5613029529934203
14,-1,0.07343019415746918,0.0,0.7438672641100655
15,1,0.014536474282773142,0.0,0.6714628923937537
16,1,0.0360852881477237,0.0,0.711026719137059
17,-1,0.06430889968976673,0.0,0.9020346442220619
18,-1,0.009774504662821561,0.0,0.7441436749201435
19,-1,0.062316652355697874,0.0,0.4442392898701147
20,1,0.07751434010518542,1.0,0.0
21,1,0.061943237727167144,0.0,0.6386866461544939
22,1,0.019010592213820964,0.0,0.8089865417634958
23,1,0.014636038151492937,0.0,0.8184766422031785
24,1,0.05987096278615955,0.0,0.665858834087478
25,-1,0.07414309378481068,0.0,0.5555753686384878
26,1,0.0029066884881703142,0.0,0.7404014083866491
27,1,0.05719933032646965,0.0,0.6245324297628759
28,1,0.02234982476481623,0.0,0.5861905723847295
29,-1,0.038748829112136556,0.0,0.8541455800432618
30,-1,0.025403866690150226,0.0,0.8341397376808286
31,1,0.06495491209221373,0.0,0.8169888889364575
32,-1,0.06877094747343403,0.0,0.6335759606504462
33,-1,0.013867969157558103,0.0,0.7640242438522385
34,1,0.041922336083820066,0.0,0.9042313345987892
35,1,0.0647253022693125,0.0,0.7611449050101053
36,1,0.06438286945737388,0.0,0.5773802230223237
37,1,0.03549379302451772,0.0,0.6760925369410947
38,1,0.015701143417219628,0.0,0.5612687152521063
39,-1,0.04060326778369669,0.0,0.8121063947424455
40,-1,0.009302162413967991,0.0,0.5848975355625059
41,-1,0.035152963455464266,0.0,0.6699348500642894
42,-1,0.005226946809784989,0.0,0.6881445616776737
43,1,0.03249083229597164,0.0,0.8121009048660924
44,1,0.052580499709117164,0.0,0.8853728620038442
45,1,0.01866821664281445,0.0,0.5993687326991733
46,-1,0.06388720934737263,0.0,0.7971020229368587
47,1,0.06980111754556122,0.0,0.7373689743793556
48,1,0.047631630489318316,0.0,0.6258826121900459
49,1,0.06115755390798944,0.0,0.9098487974478915
50,1,0.05877035785011189,0.0,0.8425746258811608
51,-1,0.03689568317410495,0.0,0.8547837503196407
52,-1,0.10864942220523081,1.0,0.0
53,1,0.032845570686022674,0.0,0.8677308494121513
54,-1,0.007301319045106297,0.0,0.8981403477869421
55,-1,0.029241881097436216,0.0,0.7973672719267711
56,-1,0.008338713225276127,0.0,0.6366127639952857
57,1,0.03853429724494177,0.0,0.5209861336600919
58,1,0.04241875962317533,0.0,0.6667659806866044
59,1,0.04161259259838919,0.0,0.6521535780456295
60,-1,0.04694045607895412,0.0,0.8985607535699685
61,-1,0.02815543955528653,0.0,0.5038414545608686
62,1,0.03514623603270377,0.0,0.6850741630393027
63,-1,0.014807919915351329,0.0,0.8931848575922021
64,1,0.036441311398394856,0.0,0.5404732004735222
65,-1,0.023974645519508023,0.0,0.8945864004387395
66,1,0.005756323900097276,0.0,0.7172210777177391
67,-1,0.02898692183258023,0.0,0.5590096747391271
68,-1,0.05137935193169442,0.0,0.5837613815990288
69,1,0.04198594764604273,0.0,0.9200370376291197
70,1,0.04771018685836555,0.0,0.6138820801723626
71,-1,0.06045641724495094,0.0,0.8569668855344698
72,-1,0.06768869964551563,0.0,0.6587812745139153
73,-1,0.06458643316752989,0.0,0.8222339962728051
74,-1,0.05870149406935239,0.0,0.8384552854255183
75,1,0.05535706138457539,0.0,0.7927240518757344
76,-1,0.07451184250778815,1.0,0.0
77,-1,0.016473599530699323,0.0,0.8715656908205962
78,-1,0.04857534724506029,0.0,0.7334221583602363
79,-1,0.028243133401926784,0.0,0.6173023953833172
80,1,0.05641035098717196,0.0,0.9038636425133559
81,-1,0.07048574649263906,0.0,0.5440682092716692
82,-1,0.024074283286749168,0.0,0.4747350740981946
83,1,0.057332147282000714,0.0,0.9279670398278861
84,1,0.06982129083932467,0.0,0.9152214149338326
85,1,0.0390015580145949,0.0,0.608109795775844
86,-1,0.01340825360919869,0.0,0.8165520756783918
87,1,0.07131390704540469,0.0,0.7474732428356101
88,1,0.06353434842155523,0.0,0.7896340321045738
89,-1,0.03755966069591521,0.0,0.8489580816200794
90,-1,0.021780087904851104,0.0,0.8713236738557975
91,1,0.010945132773744362,0.0,0.742003630442728
92,1,0.009754027344488343,0.0,0.8580316621672398
93,1,0.10676275642301378,1.0,0.0
94,1,0.0701264076181174,0.0,0.8322273793602163
95,1,0.03952099716190892,0.0,0.9447184720365396
96,-1,0.027152465532814602,0.0,0.7569243651889939
97,1,0.04402624021274726,0.0,0.8
98,-1,0.01073859876071617,0.0,0.8442496587621918
99,1,0.0189205354211287,0.0,0.9055062417582976
100,1,0.02143796857587947,0.0,0.8333777271232833
