o1,o2,o3,o4,o5
28.617107179021072,32.21816061850397,32.87280399516032,26.272551730479265,26.819454407023628
20.207304500421177,23.61912530095771,24.245967288324625,21.294545708855576,20.573463476672003
19.901239358135175,24.374102908764034,24.563845188886,30.771554997447645,33.73650396968869
14.08370886676336,19.22787453097862,21.417856039861903,19.50868541893717,18.68553276272589
33.86161631258592,35.856043005980474,36.86974109679178,38.901616473962314,39.145644512474426
27.39196847561166,30.449478028832985,31.32522761639243,23.34122163242514,23.176005284704335
14.962199269675935,21.123637924536503,22.362022455870747,18.871763313732963,15.74849443869558
35.82853518168535,38.2096487613854,38.004534698452716,37.4197348156453,37.13714438448082
38.43948566229719,40.86898958165694,41.50026537431011,37.32786960858908,37.99573106201877
22.493551624260917,27.944450754802528,28.63054097703534,22.173645696237713,22.705745469488587
25.302103773759043,29.505406546655454,30.276116027039247,35.17900732696824,35.81049778623207
21.4243300700751,26.070261673257196,26.13672455098544,27.023869105168924,29.270332893378278
19.64404435358661,23.805378751644195,25.050464745008373,24.02990819689656,25.476460831065133
23.018243855499556,28.03640470522563,29.55124230487713,22.886396656763036,25.612734079454256
18.2464317235439,23.21621559195823,23.264927345317172,24.322719780058254,24.025164078535735
29.47602395465808,31.60107226631455,32.362711495167844,26.415265609785475,26.78475970663463
15.554797597556684,21.81735852102762,22.547118455024933,20.5442233531043,20.272370313600813
34.89897621226203,38.26499275334878,38.53548228617626,39.04409613243897,39.04409613243897
16.21724581776974,21.234610553250832,22.30476943338359,20.977116899103894,20.434326940554378
18.492072866993084,25.634040255132962,26.06604343649687,24.87426010092544,25.73572239670082
17.693116266610062,22.62003148763197,23.38755629654257,22.35523588006483,22.712301593814594
26.353400134173807,30.206056726705587,31.14616146657792,27.20477671144389,29.324137683884445
21.147339299342313,25.522613563894854,26.277830396548907,25.31805389999253,25.107892580951603
27.135387373492705,31.02107822627599,30.7993954995536,27.026496016298946,28.55779704408588
35.38069430965164,37.33036586207195,38.282945656471774,31.847807421455812,33.50002384495459
22.924862417030635,28.91843795801454,29.666799387118726,21.588875742598127,21.588875742598127
23.518984671669635,27.833997464755264,28.459955936392536,25.549625675528834,26.858531024699932
19.497379883487792,24.327129962251973,25.34582748374975,21.867771172749656,22.815207472568815
29.07563154887251,33.47687978365934,33.342620578695666,27.33910568193819,27.366000450663716
17.20208611172058,22.62606375461528,23.86091385166969,27.99874461631666,27.989787507303962
23.234850203580343,27.355720714574048,28.106843802870095,25.356152374845813,25.742870438345005
23.124621577767872,28.694375612886752,28.189508340312013,25.38473057993245,26.72102032388364
15.740067359560793,21.33022528777211,21.810487175185173,16.569293228685634,15.657759185270253
26.620314918229173,30.402317479487344,30.90259364504824,27.498779932632168,28.126637975238992
18.699401213901673,23.213496294191778,24.31158514987813,29.92316133013293,31.123547870912827
29.885804043002228,32.2015408743697,32.75126101954517,29.874764672942053,30.46769153764258
19.61845745943271,24.835789673457583,24.85925654326602,26.550825590770224,28.14213523490052
28.20467650399161,31.726521393780963,32.89708621427693,29.173609772955636,28.92876908194175
44.974104695544696,47.047113336548364,46.724459839410265,48.89215022519737,50.21428443803169
14.907278118580614,21.023298000278235,21.629533658601147,20.25562037475255,21.153679713592652
26.86808662524371,30.88963376094148,31.135523656151904,26.930783259101737,27.3332646536561
18.384746394156547,23.743028779393267,24.218458959312656,25.210224521599592,24.659445516960773
29.02895786019081,31.365513245647307,31.908738933261233,32.18528934697295,33.70399017535225
35.66855398806366,37.39349748245375,38.35354288485668,20.005534352566798,23.173864695507085
26.541326694120052,29.374684813492923,29.19431226770581,21.17615929838373,23.345240921418426
23.92878836313274,29.381735010275843,30.26447791742469,26.07388111736518,26.46883047480674
30.331318874569277,33.69686707909849,34.60935976288697,33.394950548973995,34.12381022486887
40.148524882537444,42.086309389769895,42.27398004091562,35.028169784106296,37.24726081366802
26.454203122805826,29.77887933620087,30.7588401821467,23.54736540341433,24.38564765432028
24.333748524399965,30.174774299091677,30.62975501023724,29.873587970790165,31.35452601201495
26.596532017333516,30.57625981096866,31.45962410865556,36.027481181976185,37.69801910775913
26.781229161852195,31.4627047610392,32.40719951886722,41.38024681653171,41.35814510676393
28.18242009170459,31.25103476865091,32.21428174809125,25.074637055138837,26.47602815498246
24.996165797119563,29.514450177748103,30.198492044555785,22.308745282034646,23.44368116478139
26.129562460814075,30.765959794101885,30.987678642186335,26.169833610287743,27.908520331409516
26.47352715185366,30.323031865153496,31.418828743684728,37.391129518020996,37.366057034673055
21.517344439470342,24.54544850999868,25.460487136014592,31.96037648423413,33.71636465567686
20.42589274225797,23.85271537100958,24.445862307089676,25.832412266292025,26.772114264691755
28.921518623749655,32.724601890160905,33.37041601737967,31.760401835563183,33.171048841235624
28.452369260501275,32.3354401751811,32.55949101072733,32.24428574728303,31.841779477584303
17.071545377902403,23.233646420536104,23.688249608216744,23.10816849570139,24.160309433451484
23.282119104710084,27.95840405943426,29.335297655225283,22.65379311310501,22.491723845701678
33.60060714079675,36.370083239232066,37.23824132758875,29.757123871120946,30.83833799986805
16.620990756216244,20.968530332221142,21.186472543721123,21.042976923132215,22.20951333896892
23.113926787703033,27.005118952481148,28.31966323609244,24.17495646745318,21.672602992780405
31.383619545476776,33.612759826073784,34.30201949758526,30.719005798576738,31.45444446988368
26.01450255154366,29.721756695321,30.93113133472153,28.470628789703913,28.80295611496811
25.476110078705855,30.763423112415662,30.68199163308617,32.90890349488914,34.2373527988641
24.003300272308298,28.83754835430971,29.252230549393527,29.845477950064893,29.50639641908584
31.924696492916432,34.643073855494535,36.05877936514791,35.09735978585293,35.5070111404092
22.720332262928586,26.94761575881969,28.50340081417721,25.121476975435296,25.29976844604195
15.934660515949778,20.386643399360292,21.778048537366814,21.34855030243522,22.533587693715305
17.830587311834588,23.937982011838976,23.692495169131288,27.329598254947854,28.700812622950266
24.24484760369491,28.931579556466335,27.846376881745826,27.073533406312364,29.94629652491433
35.84015542517337,37.66755309760404,38.513742948869805,35.633244209058105,36.2836084642141
35.962754043347665,38.011634862757035,38.44390896269836,27.959789661609186,30.09751224606171
23.917292375823127,28.711880464774584,29.99527629323609,35.0657309481048,34.85167223729127
14.747217801967945,21.1086471261934,21.858579066702724,23.835933055591294,24.029353575341023
12.808599446278471,18.181732980657916,19.02891585020629,17.69272603009597,15.935781292002794
29.29652258804419,32.665657702978415,33.681045681209035,28.978416380507753,28.429300093721302
22.569602942263458,26.67482206624068,26.488890005561164,28.527683223322494,30.356170777545994
26.68990630015225,30.090039738182824,30.618739270484944,20.69521544273593,21.493857546110625
23.668713794099354,27.975232812652756,28.414323431058314,26.995185166155757,28.664221190181255
24.22483824911071,28.37543111194594,29.62253727001648,26.236175589085494,25.46358625083226
22.272987317582736,28.343040600905763,29.39318701841097,30.367953369516776,31.61137597684889
25.87190568284034,30.15208347326861,30.99140884290735,34.312950828230655,36.026412484454156
23.733712607553556,28.503836374496245,29.142163019332152,29.32327337702518,29.849347657507774
17.639910313008375,23.15346280852574,24.70522958157224,19.446610787142994,17.47314772599973
16.550938005415993,21.430389617976942,21.63890255411508,17.53217610574659,18.396905964649545
